,종목코드,종목명,날짜,종가,수정여부
0,A003230,삼양식품,20210812,89000,비수정
1,A003230,삼양식품,20210811,89300,비수정
2,A003230,삼양식품,20210810,89600,비수정
3,A003230,삼양식품,20210809,90500,비수정
4,A003230,삼양식품,20210806,90800,비수정
5,A003230,삼양식품,20210805,90300,비수정
6,A003230,삼양식품,20210804,90400,비수정
7,A003230,삼양식품,20210803,90200,비수정
8,A003230,삼양식품,20210802,91200,비수정
9,A003230,삼양식품,20210730,91800,비수정
10,A003230,삼양식품,20210729,91200,비수정
11,A003230,삼양식품,20210728,89900,비수정
12,A003230,삼양식품,20210727,89800,비수정
13,A003230,삼양식품,20210726,90000,비수정
14,A003230,삼양식품,20210723,90800,비수정
15,A003230,삼양식품,20210722,91000,비수정
16,A003230,삼양식품,20210721,91700,비수정
17,A003230,삼양식품,20210720,93100,비수정
18,A003230,삼양식품,20210719,94100,비수정
19,A003230,삼양식품,20210716,95000,비수정
20,A003230,삼양식품,20210715,95000,비수정
21,A003230,삼양식품,20210714,89400,비수정
22,A003230,삼양식품,20210713,89600,비수정
23,A003230,삼양식품,20210712,89000,비수정
24,A003230,삼양식품,20210709,88500,비수정
25,A003230,삼양식품,20210708,90000,비수정
26,A003230,삼양식품,20210707,91000,비수정
27,A003230,삼양식품,20210706,91500,비수정
28,A003230,삼양식품,20210705,92100,비수정
29,A003230,삼양식품,20210702,90800,비수정
30,A003230,삼양식품,20210701,90300,비수정
31,A003230,삼양식품,20210630,90800,비수정
32,A003230,삼양식품,20210629,91300,비수정
33,A003230,삼양식품,20210628,91700,비수정
34,A003230,삼양식품,20210625,91200,비수정
35,A003230,삼양식품,20210624,90900,비수정
36,A003230,삼양식품,20210623,92100,비수정
37,A003230,삼양식품,20210622,92500,비수정
38,A003230,삼양식품,20210621,89900,비수정
39,A003230,삼양식품,20210618,90300,비수정
40,A003230,삼양식품,20210617,90100,비수정
41,A003230,삼양식품,20210616,91000,비수정
42,A003230,삼양식품,20210615,90500,비수정
43,A003230,삼양식품,20210614,90300,비수정
44,A003230,삼양식품,20210611,89100,비수정
45,A003230,삼양식품,20210610,89200,비수정
46,A003230,삼양식품,20210609,88700,비수정
47,A003230,삼양식품,20210608,89300,비수정
48,A003230,삼양식품,20210607,89200,비수정
49,A003230,삼양식품,20210604,89900,비수정
50,A003230,삼양식품,20210603,90100,비수정
51,A003230,삼양식품,20210602,90700,비수정
52,A003230,삼양식품,20210601,90900,비수정
53,A003230,삼양식품,20210531,90200,비수정
54,A003230,삼양식품,20210528,90000,비수정
55,A003230,삼양식품,20210527,91100,비수정
56,A003230,삼양식품,20210526,88200,비수정
57,A003230,삼양식품,20210525,86100,비수정
58,A003230,삼양식품,20210524,84500,비수정
59,A003230,삼양식품,20210521,84900,비수정
60,A003230,삼양식품,20210520,84900,비수정
61,A003230,삼양식품,20210518,87900,비수정
62,A003230,삼양식품,20210517,93900,비수정
63,A003230,삼양식품,20210514,95500,비수정
64,A003230,삼양식품,20210513,97500,비수정
65,A003230,삼양식품,20210512,95100,비수정
66,A003230,삼양식품,20210511,95700,비수정
67,A003230,삼양식품,20210510,93900,비수정
68,A003230,삼양식품,20210507,92800,비수정
69,A003230,삼양식품,20210506,91800,비수정
70,A003230,삼양식품,20210504,91200,비수정
71,A003230,삼양식품,20210503,90800,비수정
72,A003230,삼양식품,20210430,92600,비수정
73,A003230,삼양식품,20210429,91400,비수정
74,A003230,삼양식품,20210428,90300,비수정
75,A003230,삼양식품,20210427,91100,비수정
76,A003230,삼양식품,20210426,90300,비수정
77,A003230,삼양식품,20210423,90400,비수정
78,A003230,삼양식품,20210422,91200,비수정
